Province_Code,District_Code,District_Name_EN,District_Name_Lao,Province_Name_EN
15,1502,Kaleum,ກະເລືມ,Sekong
15,1503,Dakcheung,ດັກຈຶງ,Sekong
15,1504,Thateng,ທ່າແຕງ,Sekong
16,1601,Pakse,ປາກເຊ,Champasak
16,1602,Sanasomboun,ຊະນະສົມບູນ,Champasak
16,1603,Bachiangchaleunsook,ບາຈຽງຈະເລີນສຸກ,Champasak
16,1604,Paksong,ປາກຊ່ອງ,Champasak
16,1605,Pathoumphone,ປະທຸມພອນ,Champasak
16,1606,Phonthong,ໂພນທອງ,Champasak
16,1607,Champasak,ຈຳປາສັກ,Champasak
16,1608,Sukhuma,ສຸຂຸມາ,Champasak
16,1609,Mounlapamok,ມູນລະປະໂມກ,Champasak
16,1610,Khong,ໂຂງ,Champasak
17,1701,Xaysetha,ໄຊເສດຖາ,Attapeu
17,1702,Samakkhixay,ສາມັກຄີໄຊ,Attapeu
17,1703,Sanamxay,ສະໜາມໄຊ,Attapeu
17,1704,Phouvong,ພູວົງ,Attapeu
17,1705,Xaysana,ໄຊຊະນະ,Attapeu
18,1801,Anouvong,ອານຸວົງ,Xaisomboun
18,1802,Longchaeng,ລ້ອງແຈ້ງ,Xaisomboun
18,1803,Longxan,ລ້ອງຊັນ,Xaisomboun
18,1804,Hom,ຮົ່ມ,Xaisomboun
18,1805,Thathom,ທ່າໂທມ,Xaisomboun
